id,apelido,nome_completo,slug,clube,clube_id,posicao,posicao_id
94968,Juninho Capixaba,Luis Antônio da Rocha Júnior,juninho-capixaba,RBB,280,Lateral,2
100848,Luan Cândido,Luan Cândido de Almeida,luan-candido,VIT,287,Lateral,2
107170,Jeffinho,Jefferson Ruan Pereira dos Santos,jeffinho,BOT,263,Atacante,5
103295,Eric Ramires,Eric dos Santos Rodrigues,eric-ramires,RBB,280,Meia,4
142484,Barrera,Jordan Andrés Barrera Herrera,barrera,BOT,263,Meia,4
100695,Fernando,Fernando dos Santos Pedro,fernando,RBB,280,Atacante,5
110750,Gustavo Marques,Gustavo Marques Alves dos Santos,gustavo-marques,RBB,280,Zagueiro,3
78605,Gabriel,Gabriel Girotto Franco,gabriel,RBB,280,Meia,4
111246,Alix Vinicius,Alix Vinicius de Souza Sampaio,alix-vinicius,RBB,280,Zagueiro,3
107236,Vanderlan,Vanderlan Barbosa da Silva,vanderlan,RBB,280,Lateral,2
108133,Isidro Pitta,Isidro Miguel Pitta Saldívar,isidro-pitta,RBB,280,Atacante,5
106434,Eduardo Santos,Eduardo Gonzaga Mendes Santos,eduardo-santos,RBB,280,Zagueiro,3
106160,Lucão,Lucas Alexandre Galdino de Azevedo,lucao,RBB,280,Goleiro,1
107744,Praxedes,Bruno Conceição Praxedes,praxedes,RBB,280,Meia,4
105213,Sant Anna,Ariel Agustín Sant'Anna Quintero,sant-anna,RBB,280,Lateral,2
112886,Lucas Barbosa,Lucas Henrique Barbosa,lucas-barbosa,RBB,280,Atacante,5
111760,Fabinho,Fábio Silva de Freitas,fabinho,RBB,280,Meia,4
104588,Fabrício,Fabrício Oliveira de Souza,fabricio,RBB,280,Goleiro,1
122990,Patrick,Patrick Roberto da Silva Campos,patrick,CAM,282,Meia,4
122394,Gustavinho,Gustavo Ribeiro Neves,gustavinho,RBB,280,Meia,4
113157,Nathan Mendes,Nathan Gabriel de Souza Mendes,nathan-mendes,VIT,287,Lateral,2
124239,Henry Mosquera,Henry David Mosquera Sánchez,henry-mosquera,RBB,280,Atacante,5
68920,Dudu,Eduardo Pereira Rodrigues,dudu,CAM,282,Atacante,5
39656,Alan Franco,Alan Steven Franco Palma,alan-franco,CAM,282,Meia,4
88312,Junior Alonso,Júnior Osmar Ignacio Alonso Mujica,junior-alonso,CAM,282,Zagueiro,3
122897,Guzmán Rodríguez,Guzmán Rodríguez Ferrari,guzman-rodriguez,RBB,280,Zagueiro,3
138021,Palacios,Sergio Stevan Palacios Zapata,palacios,RBB,280,Zagueiro,3
132274,Ignacio Sosa,Ignacio Sosa Ospital,ignacio-sosa,RBB,280,Meia,4
132580,Vinicinho,Vinicius Mendonça Pereira,vinicinho,RBB,280,Atacante,5
